Plot,Number,Spp,LiveDead,Diam,DecayClass,HeightClass,Cones,MortalityCause1,MortalityCause2,MortalityCause3,DMR,BranchesBole,PreviousCurrent,PerDeadCrown,Easting,Northing,Cored,Misc
DES1014120,30,Juos,L,17,,4,,,,,0,,,10,451712.353,4373502.672,,
DES1014120,31,Pimo,L,7,,3,0,,,MT,3,,,10,451711.353,4373503.672,,
DES1014120,32,Pimo,L,24,,5,0,,RWB,MT,3,Branches,Previous,25,451707.353,4373503.672,,
DES1014120,33,Pimo,L,36,,6,1,IPS,RWB,MT,2,Branches,Previous,25,451703.353,4373505.672,,Scars on bole
DES1014120,34,Pimo,L,32,,6,0,IPS,RWB,MT,6,Branches,Previous,40,451706.353,4373507.672,,
DES1014120,35,Juos,L,38,,5,,,,MT,3,,,20,451706.353,4373510.672,,
DES1014120,36,Juos,L,30,,5,,,,MT,2,,,15,451709.353,4373506.672,,
DES1014120,37,Pimo,L,22,,5,0,,,MT,4,,,10,451708.353,4373513.672,,
DES1014120,38,Juos,L,17,,4,,,,MT,2,,,30,451705.353,4373517.672,,
DES1014120,39,Juos,L,15,,4,,,,MT,3,,,60,451700.353,4373517.672,,
DES1014120,40,Pimo,L,30,,5,0,,RWB,,0,Branches,Previous,20,451697.353,4373517.672,,
DES1014120,41,Juos,L,42,,5,,,,MT,2,,,30,451698.353,4373514.672,,
DES1014120,42,Pimo,L,28,,5,0,IPS,RWB,MT,3,Branches,Previous,40,451703.353,4373512.672,,
DES1014120,43,Pimo,L,48,,6,2,IPS,RWB,MT,3,Branches,Previous,25,451703.353,4373507.672,,
DES1014120,44,Pimo,D,19,1,2,,IPS,RWB,,,Both,Previous,100,451694.353,4373519.672,,
DES1014120,45,Pimo,L,12,,3,0,,,,0,,,15,451696.353,4373521.672,,
DES1014120,46,Juos,L,24,,5,,,,,0,,,10,451697.353,4373521.672,,
DES1014120,47,Pimo,L,36,,6,0,,RWB,,0,Branches,Previous,10,451696.353,4373523.672,,
DES1014120,48,Pimo,L,41,,6,0,IPS,RWB,MT,3,Branches,Previous,15,451706.353,4373523.672,,Pitchy bole
DES1014120,49,Pimo,L,68,,6,0,IPS,RWB,,0,Branches,Previous,50,451701.353,4373527.672,,
DES1014120,50,Juos,L,9,,3,,,,,0,,,10,451705.353,4373522.672,,
DES1014120,51,Pimo,L,15,,4,0,,RWB,,0,Branches,Previous,15,451706.353,4373521.672,,
DES1014120,52,Pimo,L,24,,5,1,IPS,RWB,,0,Branches,Previous,10,451707.353,4373521.672,,
DES1014120,53,Juos,L,12,,2,,,,,0,,,20,451707.353,4373521.672,,
DES1014120,54,Pimo,L,11,,2,0,,,,0,,,10,451705.353,4373519.672,,
DES1014120,55,Pimo,L,15,,3,0,IPS,,,0,Branches,Previous,10,451700.353,4373520.672,,Cankers
DES1014120,56,Juos,L,9,,3,,,,,0,,,40,451699.353,4373519.672,,
DES1014120,57,Pimo,L,15,,3,0,,,,0,,,15,451700.353,4373523.672,,
DES1014120,58,Pimo,L,21,,5,1,IPS,RWB,,0,Branches,Previous,20,451697.353,4373526.672,,Scar at base
DES1014240,1,Pimo,L,20,,3,0,,RWB,MT,2,Branches,Previous,30,451612.27,4373526.784,,
DES1014240,2,Pimo,L,10,,3,0,IPS,,MT,1,Branches,Previous,30,451613.27,4373529.784,,Scars on bole
DES1014240,3,Pimo,L,9,,2,0,,,MT,3,,,5,451614.27,4373529.784,,
DES1014240,4,Pimo,D,37,1,6,,IPS,RWB,,,Both,Previous,100,451615.27,4373529.784,,Cankers
DES1014240,5,Pimo,D,13,1,4,,IPS,RWB,,,Both,Previous,100,451618.27,4373530.784,,Cankers
DES1014240,6,Pimo,D,18,1,4,,IPS,RWB,,,Both,Previous,100,451621.27,4373527.784,,
DES1014240,7,Pimo,L,18,,5,0,IPS,RWB,MT,6,Branches,Previous,65,451621.27,4373528.784,,
DES1014240,8,Pimo,L,10,,5,0,,,MT,4,,,75,451622.27,4373528.784,,Cankers
DES1014240,9,Pimo,L,12,,4,0,,RWB,MT,4,Branches,Previous,75,451622.27,4373527.784,,
DES1014240,10,Pimo,D,12,1,4,,,,,,Both,Previous,100,451624.27,4373526.784,,
DES1014240,11,Pimo,L,18,,5,0,,RWB,MT,4,Both,Previous,30,451616.27,4373530.784,,
DES1014240,12,Pimo,L,21,,5,0,,RWB,MT,5,Branches,Previous,10,451614.27,4373538.784,,Scars on bole
DES1014240,13,Pimo,L,16,,4,0,IPS,RWB,MT,3,Branches,Previous,55,451613.27,4373537.784,,
DES1014240,14,Pimo,D,9,2,2,,IPS,RWB,,,Both,Previous,100,451609.27,4373539.784,,
DES1014240,15,Pimo,L,34,,6,0,IPS,RWB,MT,5,Branches,Previous,20,451605.27,4373540.784,,Cankers
DES1014240,16,Pimo,D,33,1,3,,IPS,RWB,,,Both,Previous,100,451602.27,4373536.784,,Cankers
DES1014240,17,Pimo,L,11,,4,0,,RWB,MT,3,Branches,Previous,40,451602.27,4373538.784,,Cankers
DES1014240,18,Pimo,L,23,,6,0,IPS,RWB,MT,4,Branches,Previous,25,451601.27,4373538.784,,Cankers
DES1014240,19,Pimo,L,21,,5,0,,RWB,MT,3,Branches,Previous,10,451604.27,4373540.784,,Cankers
DES1014240,20,Pimo,L,10,,4,0,,RWB,MT,1,Branches,Previous,35,451606.27,4373533.784,,Cankers
DES1014240,21,Pimo,L,16,,4,0,IPS,RWB,MT,3,Branches,Previous,45,451603.27,4373527.784,,
DES1014240,22,Pimo,L,19,,5,0,,RWB,MT,4,Branches,Previous,35,451604.27,4373529.784,,
DES1014240,23,Pimo,L,10,,3,0,,RWB,MT,5,Branches,Previous,25,451601.27,4373531.784,,
DES1014240,24,Pimo,D,10,1,3,,IPS,RWB,,,Both,Previous,100,451601.27,4373532.784,,Cankers
DES1014240,25,Pimo,L,8,,2,0,IPS,RWB,MT,1,Branches,Previous,85,451601.27,4373538.784,,
DES1014240,26,Pimo,L,13,,4,0,,,MT,3,,,25,451597.27,4373533.784,,Scars on bole
DES1014240,27,Juos,L,11,,2,,,,,0,,,5,451595.27,4373527.784,,
DES1014240,28,Juos,L,36,,6,,,,,0,,,10,451603.27,4373525.784,,
DES1014240,29,Juos,L,20,,5,,,,MT,2,,,10,451598.27,4373521.784,,
DES1014240,30,Pimo,L,6,,2,0,,,MT,2,,,0,451598.27,4373524.784,,
DES1014240,31,Pimo,L,10,,2,0,IPS,RWB,MT,3,Branches,Previous,20,451599.27,4373523.784,,Cankers
DES1014240,32,Pimo,L,7,,1,0,,,MT,3,,,5,451594.27,4373525.784,,
DES1014240,33,Pimo,L,16,,4,0,,RWB,MT,3,Branches,Previous,5,451607.27,4373509.784,,Cankers
DES1014240,34,Pimo,D,9,2,2,,,RWB,,,Both,Previous,100,451605.27,4373514.784,,Cankers
DES1014240,35,Pimo,L,11,,4,0,,,,0,,,35,451605.27,4373514.784,,Cankers
DES1014240,36,Pimo,L,16,,6,0,IPS,RWB,MT,3,Branches,Previous,20,451607.27,4373514.784,,Cankers
DES1014240,37,Pimo,L,7,,2,0,,,,0,,,0,451606.27,4373515.784,,
DES1014240,38,Pimo,L,10,,5,0,,,MT,3,,,15,451603.27,4373515.784,,Scars on bole
DES1014240,39,Pimo,L,16,,6,0,,,MT,5,,,25,451602.27,4373513.784,,Cankers
DES1014240,40,Pimo,L,47,,6,0,IPS,RWB,MT,4,Branches,Previous,20,451597.27,4373514.784,,
DES1014240,41,Juos,L,25,,4,,,,,0,,,5,451613.27,4373511.784,,
DES1014240,42,Pimo,D,18,1,5,,IPS,RWB,,,Both,Previous,100,451612.27,4373512.784,,Cankers
DES1014240,43,Pimo,D,16,1,4,,IPS,RWB,,,Both,Previous,100,451612.27,4373512.784,,Cankers
DES1014240,44,Pimo,D,18,1,6,,IPS,RWB,,,Both,Previous,100,451613.27,4373513.784,,Cankers
DES1014240,45,Pimo,D,17,1,6,,IPS,RWB,,,Both,Previous,100,451613.27,4373515.784,,
DES1014240,46,Pimo,L,16,,6,1,,RWB,MT,3,Branches,Previous,40,451611.27,4373513.784,,Scar on bole
DES1014240,47,Pimo,L,23,,6,1,,RWB,,0,Branches,Previous,20,451609.27,4373516.784,,
DES1014240,48,Juos,L,9,,3,,,,,0,,,50,451611.27,4373516.784,,
DES1014240,49,Pimo,L,13,,3,0,,RWB,MT,2,Branches,Previous,5,451609.27,4373521.784,,
DES1014240,50,Pimo,D,19,1,5,,IPS,RWB,,,Both,Previous,100,451614.27,4373515.784,,
DES1014240,51,Pimo,D,26,1,6,,IPS,RWB,,,Both,Previous,100,451621.27,4373516.784,,Cankers
DES1014240,52,Pimo,D,29,1,6,,IPS,RWB,,,Both,Previous,100,451621.27,4373516.784,,Cankers
DES1014240,53,Pimo,D,14,1,4,,IPS,RWB,,,Both,Previous,100,451618.27,4373522.784,,Conchs
DES1014240,54,Pimo,L,14,,4,1,,,MT,2,,,5,451619.27,4373518.784,,
