"","X","plot","year","Pndjfm","VPDaso","VPDmjj","logP","vpdtot","tmean","tmax","vpdmax","ppt_tot","stdP","stdVPD","MAP_anom","fdsi","MAT_anom"
"3265",3265,"FC795240",1936,31.875,4.7053,0,3.46182200347859,2.35265,8.10558365782101,20.935001373291,20.1806,327.536003112793,-0.110787983824394,-0.784336810393701,56.3572046626219,0.39048190093774,0.41773840790283
"3266",3266,"FC795240",1937,43.5210018157959,5.5044,0,3.77324362194717,2.7522,7.07258361826341,21.1100006103516,20.4695,254.912000656128,0.411379219794002,-0.218244236784645,-16.2667977940432,0.303223629308762,-0.61526163165477
"3267",3267,"FC795240",1938,34.9889993667602,6.6642,0,3.55503370827877,3.3321,6.99366693695387,18.8640003204346,16.9977,321.873998165131,0.0455020498584288,0.603372790961298,50.6951997149599,-0.317867861000618,-0.69417831296431
"3268",3268,"FC795240",1939,30.2059993743897,4.8551,0,3.40804055943269,2.42755,8.156250278155,20.4160003662109,19.3574,263.120003223419,-0.20096446669705,-0.678216590738293,-8.05879522675212,0.291376925466742,0.46840502823682
"3269",3269,"FC795240",1940,12.768000125885,5.3656,0,2.54694205056687,2.6828,8.67191703555484,20.367000579834,19.2849,278.652001142502,-1.64478651933917,-0.316571916945998,7.47320269233086,-0.546425795019475,0.98407178563666
"3270",3270,"FC795240",1941,37.8120012283326,6.5872,0,3.6326265450484,3.2936,7.12266691525778,19.1110000610352,17.3579,478.325996398926,0.175603597708756,0.548825014502911,207.147197948755,-0.230076425129778,-0.565178334660399
"3271",3271,"FC795240",1942,67.3739986419678,4.0203,0,4.21025916666184,2.01015,7.22850040346384,21.0910015106201,20.4441,218.172002315521,1.1441324115717,-1.26959949706897,-53.0067961346501,1.21439397945017,-0.45934484645434
"3272",3272,"FC795240",1943,39.862000465393,5.9226,0,3.68542350081565,2.9613,7.93541701634725,19.5370006561279,17.9989,275.681001186371,0.264129368296293,0.0780139465257131,4.50220273619988,0.0725291119959696,0.24757176642907
"3273",3273,"FC795240",1944,35.4429988861084,5.8367,0,3.56792574083944,2.91835,6.03691689173381,18.996000289917,17.2123,260.943002700806,0.0671183930791271,0.017161297203954,-10.2357957493651,0.0199217665206017,-1.65092835818437
"3274",3274,"FC795240",1945,62.9650001525879,6.2926,0,4.14257901888119,3.1463,6.62250036994616,19.8970012664795,18.5396,349.518006324768,1.03065167866405,0.340126638598484,78.3392078745969,0.263015820997031,-1.06534487997202
"3275",3275,"FC795240",1946,44.9530010223388,6.3175,0,3.80561752225609,3.15875,6.96116692728053,19.3540000915527,17.7171,300.45600001514,0.465661222044386,0.357766114362299,29.2772015649688,0.00454191365664189,-0.72667832263765
"3276",3276,"FC795240",1947,65.2469997406006,2.9139,0,4.17818006415868,1.45695,7.46066706379255,18.7940006256104,16.898,216.342999458313,1.09034470302714,-2.05338728763468,-54.8357989918582,1.62964855040736,-0.22717818612563
"3277",3277,"FC795240",1948,42.6510009765625,6.2124,0,3.75305074321826,3.1062,6.84866696968675,19.7310009002686,18.2927,195.656998157501,0.377521393639443,0.283311941560007,-75.5218002926702,0.0074547259277512,-0.83917828023143
"3278",3278,"FC795240",1949,31.1520004272461,6.0029,0,3.43887846234473,3.00145,6.5400837312142,19.060001373291,17.2802,241.465002536774,-0.149257903715906,0.134899484832317,-29.7137959133971,-0.141217189141096,-1.14776151870398
"3279",3279,"FC795240",1950,25.9759998321533,4.4625,0,3.25717302833894,2.23125,7.9391671915849,19.1980018615723,17.4739,227.422000300139,-0.453927241778071,-0.956339409407941,-43.7567981500322,0.335822082886096,0.251321941666721
"3280",3280,"FC795240",1951,55.298999786377,8.0418,0,4.01275482131909,4.0209,7.04966683437426,19.875,18.5095,239.409000873566,0.812972705263418,1.57928210068954,-31.7697975766052,-0.526689986070237,-0.63817841554392
"3281",3281,"FC795240",1952,54.6679992675781,5.1347,0,4.00127851570492,2.56735,6.81925018628438,20.3850002288818,19.2988,275.22300028801,0.793730141308192,-0.480144405053033,4.04420183783884,0.618122129005303,-0.8685950636338
"3282",3282,"FC795240",1953,34.9070005416871,8.896,0,3.5526873976802,4.448,8.12900047500929,21.2410011291504,20.6756,177.777000427246,0.041567941333464,2.184408213037,-93.4017980229251,-1.204978705114,0.44115522509111
"3283",3283,"FC795240",1954,22.1750001907349,5.6426,0,3.09896553679699,2.8213,8.37666690101227,20.5060005187988,19.4819,209.235001087189,-0.71919708353209,-0.120341604232059,-61.9437973629821,-0.249055418384167,0.68882165109409
"3284",3284,"FC795240",1955,24.7479991912842,6.0182,0,3.20874464499072,3.0091,6.43250041206678,19.4900016784668,17.9123,265.841004431248,-0.535128134744501,0.145738198855867,-5.33779401892315,-0.317069770646866,-1.2553448378514
"3285",3285,"FC795240",1956,67.8090019226074,6.8934,0,4.21669495785284,3.4467,7.7260837207238,19.234001159668,17.529,199.021998405457,1.15492343855885,0.76574097751016,-72.1568000447141,0.0793513655602053,0.03823847080562
"3286",3286,"FC795240",1957,7.00999999046326,4.9643,0,1.94733769968605,2.48215,7.02766715238492,19.2640018463135,17.5776,304.653000831604,-2.65015579561646,-0.600857925942762,33.4742023814329,-0.829588111543298,-0.66017809753326
"3287",3287,"FC795240",1958,47.7919988632202,4.0484,0,3.86685823768777,2.0242,8.43958366910616,20.2690010070801,19.1032,217.262000918388,0.568344822758433,-1.24969310072506,-53.9167975317831,0.949899858419745,0.75173841918798
"3288",3288,"FC795240",1959,19.6959993839264,7.5958,0,2.98041553816297,3.7979,8.07591689874728,20.9160003662109,20.1532,183.350001811981,-0.91797236952572,1.26333004483966,-87.8287966381901,-1.11137266770152,0.388071648829101
"3289",3289,"FC795240",1960,19.7360000610352,6.3401,0,2.98244438231964,3.17005,7.83491702874502,21.1140003204346,20.4852,213.599002361298,-0.914570563687462,0.373776240959177,-57.5797960888731,-0.611725742959622,0.14707177882684
"3290",3290,"FC795240",1961,52.8100004196166,5.2154,0,3.96670057466462,2.6077,7.4574170857668,20.2620010375977,19.1082,215.986000537872,0.735752577423311,-0.422975501673917,-55.1927979122991,0.560597415003651,-0.230428164151379
"3291",3291,"FC795240",1962,33.920000076294,5.3169,0,3.52400481317294,2.65845,7.52541707456112,18.8000011444092,16.9257,232.11599779129,-0.00652475376700625,-0.351071614524225,-39.0628006588811,0.193729212476083,-0.16242817535706
"3292",3292,"FC795240",1963,10.1809997558594,6.7719,0,2.32052321414504,3.38595,7.36900040879846,18.746000289917,16.8399,358.198996543884,-2.0244277633938,0.679668836734912,87.0201980937128,-1.27136276446482,-0.31884484111972
"3293",3293,"FC795240",1964,37.1350002288818,7.8517,0,3.61455992728477,3.92585,6.18000033218413,19.7550010681152,18.322,276.883002027869,0.14531091821249,1.44461284997864,5.70420357769785,-0.74504639197454,-1.50784491773405
"3294",3294,"FC795240",1965,62.0410022735596,7.6426,0,4.12779549345766,3.8213,7.19066690032681,18.6030006408691,16.6132,343.815001964569,1.00586382941971,1.29648375832346,72.6362035143978,-0.283450819716461,-0.49717834959137
"3295",3295,"FC795240",1966,73.6019992828369,8.0503,0,4.29867218953487,4.02515,8.05875023206075,20.6280002593994,19.6943,179.254002571106,1.29237639393903,1.5853036084804,-91.9247958790651,-0.319124407415852,0.370904982142569
"3296",3296,"FC795240",1967,60.4180011749267,5.5309,0,4.10128709323531,2.76545,7.13658358963827,20.0780010223389,18.8087,323.090003490448,0.961416635019502,-0.199471300730785,51.9112050402769,0.53472724781782,-0.55126166027991
"3297",3297,"FC795240",1968,29.2409992218017,6.6882,0,3.37557180740992,3.3441,7.15308373173077,20.3130016326904,19.1835,301.015000581741,-0.25540550881892,0.620374695311964,29.8362021315698,-0.459788253255025,-0.53476151818741
"3298",3298,"FC795240",1969,44.8000011444092,5.6816,0,3.80220816496579,2.8408,7.35666709517439,20.3520011901855,19.2489,342.685004234314,0.459944680684263,-0.0927135096622263,71.5062057841429,0.254295224911922,-0.33117815474379
"3299",3299,"FC795240",1970,44.4619989395141,3.2262,0,3.79463486792829,1.6131,7.115416948994,20.2670001983643,19.1093,313.155000209809,0.447246373624884,-1.83215000727163,41.9762017596378,1.22279240846706,-0.57242830092418
"3300",3300,"FC795240",1971,66.6480007171631,4.2881,0,4.19942504943307,2.14405,6.5764170512557,20.2890014648438,19.1399,314.34099817276,1.12596661844263,-1.07988658102278,43.1621997225889,1.10016179748752,-1.11142819866248
"3301",3301,"FC795240",1972,69.4590015411377,3.8165,0,4.2407366726249,1.90825,7.29466701423129,20.3450012207031,19.2489,224.899999141693,1.1952346893784,-1.41397400151337,-46.2787993084781,1.31772870417399,-0.393178235686889
"3302",3302,"FC795240",1973,50.7089996337891,4.1862,0,3.92610340241434,2.0931,7.06258365511894,19.6650009155273,18.1865,286.545998096466,0.667682441467474,-1.15207383324499,15.3671996462949,0.93894162086288,-0.62526159479924
